Genus,Family,Order,HybProp,Hyb_Ratio,perc_per,perc_wood,perc_ag,floral_symm,mating_system,repro_syndrome,pollination_syndrome,RedList,tavg,C_value,CV_C_value
Teucrium,Lamiaceae,Lamiales,0.049603175,0.015625,0.836065574,0.640625,0.004320557,0.9583333333749999,1.0,0.7,0.964285714,0.166666667,0.664,1.05,40.319585
Thalictrum,Ranunculaceae,Ranunculales,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,0.714285714,3.75,0.7035555556666667,1.2,11.78511302
Thapsia,Apiaceae,Apiales,0.0,0.0,1.0,0.0,0.003968254,0.0,1.0,0.8953401360571428,1.0,3.3888888888333333,0.925,2.5124782609130434,
Thaspium,Apiaceae,Apiales,0.0,0.0,1.0,0.0,0.003968254,0.0,1.0,0.8953401360571428,0.9996012759210526,3.3888888888333333,0.925,2.5124782609130434,
Thelesperma,Asteraceae,Asterales,0.0,0.0,1.0,0.0,0.00210989,0.015625,0.9667911996712328,0.761325295527027,0.9507266543025209,2.58694816475,0.6654010416875,3.3862005286025645,
Thelionema,Xanthorrhoeaceae,Asparagales,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,1.0,0.75,0.946,8.402251942000001,
Thelymitra,Orchidaceae,Asparagales,9.558823529,0.764705882,1.0,0.0,0.0,1.0,0.967948717923077,0.7159863945,1.0,2.9197885448571426,0.6304592000547441,10.827903073333333,
Thelypodiopsis,Brassicaceae,Brassicales,0.0,0.0,0.083333333,0.0,0.00485306,0.0,0.998958333325,0.90956349205,0.9974160206744186,2.9222222222222225,0.4929733334,0.8330963370185186,
Thelypodium,Brassicaceae,Brassicales,0.0,0.0,0.157894737,0.0,0.00485306,0.0,0.998958333325,0.90956349205,0.9974160206744186,2.9222222222222225,0.4929733334,0.8330963370185186,
Thelypteris,Thelypteridaceae,Monilophyta,0.0,0.0,1.0,0.0,0.0,0.28760069469672456,1.0,0.5,0.8173756359705927,1.966666667,0.6304592000547441,6.045,36.14491239
Themeda,Poaceae,Poales,0.0,0.0,1.0,0.0,0.074314214,1.0,0.9609953703833334,0.7215099227419354,0.0,1.7807017544210528,0.49689285714285714,4.6528267402125,
